Port_ID,ROI,PnL,Sharpe_Ratio,MDD,Win_Rate,ROI_normalized,PnL_normalized,Sharpe_Ratio_normalized,MDD_normalized,Win_Rate_normalized,score
4031181049693676544,49658.226912340695,4545.2423384,0.21431149674844546,-22.344964960000084,24.17218543046358,1.0,0.20027051724561365,0.38909297344921345,0.9989528113526694,0.30116882028190606,0.6622661803996844
4023616625178799873,39145.220553680585,2087.77119301,0.2523407467678846,-3.088799999999992,40.991535671100365,0.7923827642510389,0.17113475975731277,0.43966169084957346,0.9998552445125931,0.5107263666797134,0.6413237318679119
3993222640082269952,41673.340181777974,1884.46844302,0.0903776714727069,-314.1775242199999,46.45286686103013,0.842309606385582,0.16872440404203815,0.2242941782189401,0.9852761847155037,0.5787708004927623,0.6095097238916285
3891020560590657281,13164.27502024762,2856.30056379,0.4318153572803059,0.0,64.75972540045767,0.27929526960187284,0.18024643759397319,0.6783148553191095,1.0,0.806861678135901,0.5924211901901216
4022565861939831809,22282.17353538762,14197.57707589,0.2994535961266823,-385.0755536900001,52.76595744680851,0.4593610681917818,0.3147085177222296,0.5023091625702348,0.9819535743774704,0.6574275710822977,0.5898613134101549
3826087012661391104,1142.060406796741,532.65697373,0.6737326022393789,-12.925980130000028,58.333333333333336,0.04187327246122288,0.15269733849011013,1.0,0.9993942286473939,0.7267932489451476,0.5867295486586288
4022641794255717633,10882.694513693394,2176.83382376,0.5432036803122697,-115.99559387999989,43.52280237937872,0.23423723180098296,0.1721906855677419,0.8264314925450377,0.9945639087253465,0.5422642104772502,0.5743505245499854
3956048468100538880,6.481915201961462,1373.56489,0.5247548876768744,0.0,71.42857142857143,0.019447178596391293,0.16266713576093297,0.8018995393595221,1.0,0.889950917075691,0.5560683895562449
3886752488982104320,13580.574172520923,7195.17832464,0.22132871844103924,-38.20810000000006,74.5396317053643,0.2875165981439622,0.23168813628844356,0.39842399892373803,0.9982093913045873,0.928712590325425,0.5479785596126987
3996598927198996481,32110.642761791292,3509.04461888,0.11254123535147607,-160.68430589999957,36.8282600526118,0.6534596488274479,0.18798536568951107,0.25376578225523855,0.9924695885071257,0.45885481331373473,0.5456000164794805
3943533600390906881,8430.527846978262,2361.42457205,0.42489048586191835,-32.30352141000003,54.80386583285958,0.18581035488582184,0.17437919194628085,0.6691066309757089,0.998486107230425,0.6828185092014512,0.5425776812306046
4039279455324236544,3820.9430145803913,1038.80741926,0.47019884903837617,0.0,55.35168195718655,0.09477747350033415,0.15869825396829254,0.7293546193575992,1.0,0.689643921672722,0.5300883105372376
4039129759104249600,4232.0720349467765,1264.28919972,0.5214934305671125,0.0,44.3609022556391,0.10289669913690325,0.16137156408460332,0.7975626748982815,1.0,0.5527063590259554,0.529302788727995
3986814617275053313,971.3213589115677,16337.46188064,0.32906916130259056,-2.3819474699994316,78.22172200337648,0.03850141402730036,0.3400789741937344,0.5416899325109231,0.9998883708990555,0.9745889052500252,0.5271468147226093
3944088772635000577,14149.85439231056,7581.4919834,0.29674881316464,-97.2037250300009,45.75292759360053,0.29875908973647647,0.23626826781803,0.4987125256350623,0.9954445828171192,0.5700500381915147,0.5225291074036627
4035430878731345664,2119.3646538477883,2493.75041995,0.46947165209293595,0.0,48.31460674157304,0.061173670400325675,0.17594804609990156,0.7283876421805692,1.0,0.6019668000894,0.5083388362886402
3931992636670880512,26484.861942517316,10374.96528998,0.05050006487464799,-1651.1316999599999,40.16528925619834,0.5423583117998109,0.26938766413860826,0.17126764160227834,0.9226203140376015,0.5004319041142976,0.49205201877903865
4029422834086627072,23.673088213985107,2799.90254984,0.5114319082672693,0.0,37.254901960784316,0.019786680323896515,0.17957778320901674,0.7841835449512509,1.0,0.4641704783179094,0.48956524040356975
4017110277719148289,187.29424744143694,2899.93302141,0.39368329462579077,0.0,56.74603174603175,0.02301797036880939,0.18076374364911024,0.6276094246497346,1.0,0.7070165618990212,0.4879366059228407
4041860229502600193,23.593940302668475,2327.33599982,0.4570029147105904,0.0,39.175257731958766,0.01978511726286504,0.17397503811705728,0.7118075608824938,1.0,0.4880967916332656,0.47449944795617854
